date	hours	sales	transactions	items
2010-02-02	19	3534.550000000002	124	1247
2010-02-02	20	2926.130000000002	80	878
2010-02-02	21	2597.080000000002	86	853
2010-02-02	22	112.42000000000002	1	35
2010-02-03	9	1376.3200000000004	55	448
2010-02-03	10	3338.9100000000035	79	967
2010-02-03	11	4294.820000000001	86	1027
2010-02-03	12	4816.770000000001	118	1332
2010-02-03	13	4008.9600000000014	117	1256
2010-02-03	14	4583.310000000003	110	1316
2010-02-03	15	5653.520000000001	134	1704
2010-02-03	16	5094.109999999997	127	1620
2010-02-03	17	6531.429999999993	153	1865
2010-02-03	18	4515.490000000003	136	1442
2010-02-03	19	5045.460000000001	132	1472
2010-02-03	20	3649.510000000002	115	1133
2010-02-03	21	4015.850000000002	89	1095
2010-02-03	22	156.67000000000002	3	37
2010-02-04	8	4.58	1	1
2010-02-04	9	2582.5700000000024	58	701
2010-02-04	10	3327.2800000000043	74	983
2010-02-04	11	3660.070000000002	103	1050
2010-02-04	12	5505.060000000005	153	1609
2010-02-04	13	5302.670000000004	138	1481
2010-02-04	14	5063.91	106	1419
2010-02-04	15	4173.410000000002	103	1150
2010-02-04	16	3957.980000000001	95	1225
2010-02-04	17	5033.24	129	1498
2010-02-04	18	3853.060000000002	95	1236
2010-02-04	19	2876.2200000000025	99	972
2010-02-04	20	3971.700000000002	98	1274
2010-02-04	21	2559.3100000000018	72	769
2010-02-04	22	15.99	1	1
2010-02-05	9	2369.2100000000005	69	683
2010-02-05	10	3164.250000000001	74	912
2010-02-05	11	4015.6200000000035	105	1261
2010-02-05	12	5923.530000000004	132	1782
2010-02-05	13	4460.720000000003	116	1365
2010-02-05	14	4443.560000000001	107	1352
2010-02-05	15	4199.020000000004	108	1275
2010-02-05	16	5017.710000000002	137	1594
2010-02-05	17	5212.360000000003	128	1665
2010-02-05	18	5357.210000000002	144	1706
2010-02-05	19	4337.47	111	1330
2010-02-05	20	2775.7500000000014	77	917
2010-02-05	21	1640.9800000000005	51	587
2010-02-05	22	38.95	2	19
2010-02-06	9	4390.950000000001	95	1300
2010-02-06	10	6265.829999999996	134	1961
2010-02-06	11	7217.989999999971	146	2275
2010-02-06	12	8707.289999999908	174	2656
2010-02-06	13	7017.479999999976	148	2119
2010-02-06	14	9704.33999999988	185	2804
2010-02-06	15	9312.459999999894	198	2788
2010-02-06	16	8735.549999999914	181	2552
2010-02-06	17	7206.219999999972	167	2172
2010-02-06	18	5440.109999999999	132	1658
2010-02-06	19	5175.300000000005	132	1628
2010-02-06	20	4077.3300000000027	89	1177
2010-02-06	21	327.48	8	86
2010-02-07	8	10.46	1	4
2010-02-07	9	2903.8400000000042	68	910
2010-02-07	10	6951.849999999989	105	2095
2010-02-07	11	7787.749999999938	160	2443
2010-02-07	12	8390.999999999916	183	2643
2010-02-07	13	8629.679999999915	193	2694
2010-02-07	14	8398.20999999993	174	2637
2010-02-07	15	9395.10999999988	186	2845
2010-02-07	16	8186.149999999921	198	2651
2010-02-07	17	9091.329999999887	205	2837
2010-02-07	18	6369.549999999997	133	1822
2010-02-07	19	3548.730000000001	75	1101
2010-02-07	20	2812.270000000003	56	973
2010-02-07	21	92.59	3	22
2010-02-08	9	1340.1200000000003	39	376
2010-02-08	10	2692.180000000001	51	759
2010-02-08	11	4566.4100000000035	89	1364
2010-02-08	12	2706.7000000000025	82	791
2010-02-08	13	4534.449999999999	101	1280
2010-02-08	14	3978.6400000000012	105	1196
2010-02-08	15	4304.510000000005	127	1387
2010-02-08	16	3872.680000000002	104	1260
2010-02-08	17	3987.800000000002	120	1312
2010-02-08	18	4835.439999999997	148	1603
2010-02-08	19	3872.6700000000014	106	1187
2010-02-08	20	2707.590000000002	76	926
2010-02-08	21	1388.4699999999996	41	405
2010-02-08	22	94.7	3	32
2010-02-09	9	1388.5100000000004	37	356
2010-02-09	10	1976.9700000000016	54	558
2010-02-09	11	4083.3400000000015	89	1243
2010-02-09	12	4773.480000000003	124	1333
2010-02-09	13	5346.350000000001	121	1506
2010-02-09	14	3710.2700000000013	94	1139
2010-02-09	15	3893.2000000000035	110	1330
2010-02-09	16	4485.3800000064075	122	1327
2010-02-09	17	4578.47	128	1491
2010-02-09	18	4278.3	144	1463
2010-02-09	19	4128.860000000002	116	1345
2010-02-09	20	3340.220000000004	92	1090
2010-02-09	21	2841.860000000004	76	928
2010-02-09	22	293.85999999999996	10	84
2010-02-10	8	13.790000000000001	2	5
2010-02-10	9	1854.2300000000014	60	521
2010-02-10	10	2790.770000000003	84	791
2010-02-10	11	3363.540000000002	92	901
2010-02-10	12	5089.940000000004	112	1363
2010-02-10	13	4354.330000000004	124	1237
2010-02-10	14	6095.770000000003	137	1564
2010-02-10	15	6230.059999999981	146	1745
2010-02-10	16	5145.469999999998	125	1496
2010-02-10	17	4656.5300000000025	129	1382
2010-02-10	18	5884.929999999986	144	1801
2010-02-10	19	4262.850000000002	120	1215
2010-02-10	20	4292.890000000003	111	1184
2010-02-10	21	3183.5000000000014	68	1009
2010-02-10	22	664.2	12	156
2010-02-11	9	2120.3000000000015	67	572
2010-02-11	10	3690.5200000000004	81	938
2010-02-11	11	4868.25	112	1436
2010-02-11	12	5259.300000000003	137	1470
2010-02-11	13	5460.400000000004	131	1509
2010-02-11	14	5332.420000000004	102	1459
2010-02-11	15	4548.120000000001	116	1323
2010-02-11	16	4183.720000000005	131	1349
2010-02-11	17	5841.34	142	1765
2010-02-11	18	4102.280000000004	123	1316
2010-02-11	19	4834.450000000003	126	1425
2010-02-11	20	3937.6200000000013	94	1121
2010-02-11	21	2852.320000000002	82	861
2010-02-11	22	368.96	4	90
2010-02-12	8	0.48999999999999977	3	1
2010-02-12	9	1951.8600000000013	58	517
2010-02-12	10	2761.770000000003	66	736
2010-02-12	11	4594.960000000001	113	1282
2010-02-12	12	5986.120000000004	160	1755
2010-02-12	13	5396.199999999991	141	1518
2010-02-12	14	5384.9600000000055	114	1542
2010-02-12	15	6021.410000000002	134	1759
2010-02-12	16	5153.700000000003	128	1510
2010-02-12	17	6731.609999999995	145	1863
2010-02-12	18	4569.800000000002	117	1324
2010-02-12	19	4042.310000000004	114	1197
2010-02-12	20	3290.8300000000027	86	1044
2010-02-12	21	2224.4500000000016	51	660
2010-02-12	22	41.480000000000004	2	21
2010-02-13	9	4483.500000000001	83	1196
2010-02-13	10	5651.690000000005	113	1516
2010-02-13	11	8024.209999999937	148	2235
2010-02-13	12	7811.1999999999425	171	2129
2010-02-13	13	8103.369999999936	164	2410
2010-02-13	14	8655.929999999911	187	2427
2010-02-13	15	8461.469999999917	165	2256
2010-02-13	16	7453.459999999965	180	2152
2010-02-13	17	8704.149999999916	176	2346
2010-02-13	18	6540.469999999999	146	1846
2010-02-13	19	4875.300000000327	111	1374
2010-02-13	20	2840.780000000001	90	780
